"Title","Authors","Average_Rating","Ratings_Count","Language_Code","Num_Pages","Publication_Date","Publisher","Categories","Text_Reviews_Count","Theme"
"Kafka on the Shore","Haruki Murakami/Philip Gabriel",4.14,225397,"eng",467,2006,"Vintage International","Fiction",12452,"Fiction"
"Dragonfly in Amber (Outlander  #2)","Diana Gabaldon",4.32,222140,"eng",743,2001,"Bantam","Fiction",11121,"Fiction"
"Their Eyes Were Watching God","Zora Neale Hurston",3.91,220309,"eng",219,2006,"Amistad","Fiction",9536,"Fiction"
"The Princess Diaries (The Princess Diaries  #1)","Meg Cabot",3.78,216359,"eng",283,2001,"Turtleback","Juvenile Fiction",4137,"Young Adult and Children Fiction"
"The Namesake","Jhumpa Lahiri",3.99,213178,"eng",291,2004,"Mariner Books","Fiction",10160,"Fiction"
"War and Peace","Leo Tolstoy/Henry Gifford/Aylmer Maude/Louise Maude",4.11,211671,"eng",1392,1998,"Oxford University Press","Fiction",6245,"Fiction"
"The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1)","Alexander McCall Smith",3.78,208669,"eng",235,2003,"Anchor Books","Fiction",9489,"Fiction"
"Cold Mountain","Charles Frazier",3.86,208001,"eng",356,2006,"Grove Press","Fiction",4972,"Fiction"
"A Million Little Pieces","James Frey",3.65,206011,"eng",515,2005,"Anchor Books","Biography & Autobiography",10821,"Biography & Autobiography"
"Wizard's First Rule (Sword of Truth  #1)","Terry Goodkind",4.13,204648,"eng",836,2003,"Tor Books","Fiction",4986,"Fiction"
"Maus I: A Survivor's Tale: My Father Bleeds History (Maus  #1)","Art Spiegelman",4.34,203013,"eng",159,1991,"Pantheon Books","Children of Holocaust survivors",4873,"History & Historical Fiction"
"The Andromeda Strain (Andromeda  #1)","Michael Crichton",3.89,202043,"eng",327,2003,"Avon Books","Fiction",2850,"Fiction"
"Little House in the Big Woods (Little House  #1)","Laura Ingalls Wilder/Garth Williams",4.18,201840,"eng",198,2007,"HarperTrophy","Juvenile Fiction",3463,"Young Adult and Children Fiction"
"The Good Earth (House of Earth  #1)","Pearl S. Buck",3.98,200744,"eng",418,2009,"Howard Publishing Co","Fiction",7656,"Fiction"
"Voyager (Outlander  #3)","Diana Gabaldon",4.39,198818,"eng",870,2001,"Delta","Fiction",8130,"Fiction"
"Something Blue (Darcy & Rachel  #2)","Emily Giffin",3.93,191577,"en-US",338,2006,"Griffin","Fiction",6599,"Fiction"
"The Brothers Karamazov","Fyodor Dostoyevsky/Fyodor Dostoevsky/Richard Pevear/Larissa Volokhonsky",4.32,191531,"eng",796,2002,"Farrar  Straus and Giroux","Fiction",6795,"Fiction"
"The Hound of the Baskervilles","Arthur Conan Doyle/Anne Perry/Sidney Paget",4.11,191128,"eng",256,2001,"Signet","Fiction",4802,"Fiction"
